id,Title,Batch,Transcript,Allocation,Content,biografy,vimeo_promo_id,vimeo_description,Service Types,Project Types,Tags,related_videos,Priority Words
2643.0,Admiral William O'Brien,1,1,Train/Eval,,"A remarkable interview, full of detail and opinion. One of the best Second World war Naval accounts we have in the archive.",116177529.0,"On PQ 17: ""I can remember vividly the scene at that time and the picture of my Captain on the bridge worrying and us all worrying with him. Little flows of arctic ice coming by us. Then we were quitting. It's the most horrible recollection"".",Navy,The Veterans' video archive|Keeping Britain Afloat,Places>North Africa|Role>First Lieutenant|Role>Navigator|War/Conflict>WWII|Service Type>Navy|Miscellaneous>Conditions|Role>Captain|Places>Burma - Ramree|Places>Burma - Akyab Island|Places>Burma|Miscellaneous>D-Day Preperation|People>Winston Churchill|Role>Sub Lieutenant|Miscellaneous>Sport - Rugby|Battles>Ship - Russian / Arctic Convoys|Places>Russia - Polyarny|Places>Russia|Battles>Operation - Torch|Miscellaneous>Training|Battles>Operation - Neptune / Overlord (D-Day)|Places>Dartmouth - RNC Britannia|Places>England - Portsmouth|War/Conflict>The Spanish Civil War|Role>Flight Lieutenant|Role>Officer|Places>Germany|Vehicles>HMAS Napier|Miscellaneous>Naval - Coastal Convoy|Miscellaneous>Naval - Convoy Duties|Miscellaneous>Naval Actions - Ship to Shore Bombardment|Miscellaneous>Naval Convoy - PQ18|Miscellaneous>Nyon Patrol|Vehicles>HMS Cotswold|Vehicles>HMS Frobisher|Vehicles>HMS Garland|Vehicles>HMS Offa|Vehicles>HMS Witherington|Vehicles>HMS Wolsey|Miscellaneous>Incident|Miscellaneous>Incident - Bombing Raid|Role>Lieutenant Commander|Munitions>Depth Charges|Miscellaneous>Naval Convoy - PQ17|Miscellaneous>Naval Actions - Escort Duties,"a:14:{i:0;s:4:""2647"";i:1;s:4:""2648"";i:2;s:4:""2649"";i:3;s:4:""2650"";i:4;s:4:""2651"";i:5;s:4:""2652"";i:6;s:4:""2653"";i:7;s:4:""2654"";i:8;s:4:""2655"";i:9;s:4:""2656"";i:10;s:4:""2657"";i:11;s:4:""2658"";i:12;s:4:""2659"";i:13;s:4:""2660"";}","['North Africa', 'First Lieutenant', 'Navigator', 'WWII', 'Navy', 'Conditions', 'Captain', 'Burma', 'Ramree', 'Burma', 'Akyab Island', 'Burma', 'D-Day Preperation', 'Winston Churchill', 'Sub Lieutenant', 'Sport', 'Rugby', 'Ship', 'Russian / Arctic Convoys', 'Russia', 'Polyarny', 'Russia', 'Operation', 'Torch', 'Training', 'Operation', 'Neptune / Overlord (D-Day)', 'Dartmouth', 'RNC Britannia', 'England', 'Portsmouth', 'The Spanish Civil War', 'Flight Lieutenant', 'Officer', 'Germany', 'HMAS Napier', 'Naval', 'Coastal Convoy', 'Naval', 'Convoy Duties', 'Naval Actions', 'Ship to Shore Bombardment', 'Naval Convoy', 'PQ18', 'Nyon Patrol', 'HMS Cotswold', 'HMS Frobisher', 'HMS Garland', 'HMS Offa', 'HMS Witherington', 'HMS Wolsey', 'Incident', 'Incident', 'Bombing Raid', 'Lieutenant Commander', 'Depth Charges', 'Naval Convoy', 'PQ17', 'Naval Actions', 'Escort Duties', 'Britannia', 'Napier', 'Cotswold', 'Frobisher', 'Garland', 'Offa', 'Witherington', 'Wolsey', 'Admiral', 'William', ""O'Brien""]"
2071.0,Alex Owens,1,1,Test,,"The delightful Alex Owens provides a classic story of life at sea for a young man who wanted to do his bit. Alex became a big fan of Legasee and was a charming, funny and generous man.",90101380.0,,Navy,Keeping Britain Afloat|The Veterans' video archive,Places>England - HMS Ganges (Stone Frigate)|Miscellaneous>Description - Ship Role|Miscellaneous>Description - Job Role|Places>England - Liverpool|Miscellaneous>Incident|Vehicles>U Boat|Vehicles>SS Penelope Barker|Vehicles>HMS Savage|Vehicles>Scharnhorst|Role>Ordinary Seaman|Service Type>Navy|Miscellaneous>Conditions - Weather|Role>Chatham Rating|Role>Able Seaman|War/Conflict>WWII|Battles>Ship - Russian / Arctic Convoys|Miscellaneous>Naval Actions - Naval Battle,"a:7:{i:0;s:4:""2074"";i:1;s:4:""2075"";i:2;s:4:""2076"";i:3;s:4:""2077"";i:4;s:4:""2078"";i:5;s:4:""2079"";i:6;s:4:""2080"";}","['England', 'HMS Ganges (Stone Frigate)', 'Description', 'Ship Role', 'Description', 'Job Role', 'England', 'Liverpool', 'Incident', 'U Boat', 'SS Penelope Barker', 'HMS Savage', 'Scharnhorst', 'Ordinary Seaman', 'Navy', 'Conditions', 'Weather', 'Chatham Rating', 'Able Seaman', 'WWII', 'Ship', 'Russian / Arctic Convoys', 'Naval Actions', 'Naval Battle', 'Ganges (Stone Frigate)', 'Boat', 'Penelope Barker', 'Savage', 'Alex', 'Owens']"
2301.0,Cornelius Snelling,1,1,Train/Eval,,Cornelius Snelling served on the Black Swan-class sloop HMS Wildgoose.,93458542.0,Cornelius Snelling served on the Black Swan-class sloop HMS Wildgoose.,Navy,The Normandy Campaign|The Veterans' video archive|Keeping Britain Afloat,Miscellaneous>Naval - Rum Ration|Battles>Operation - Neptune / Overlord (D-Day)|Role>Ordinary Seaman|Vehicles>U Boat|Miscellaneous>Naval - Action Stations|Battles>Operation - Avalanche|Places>England - London|Miscellaneous>Conditions|Miscellaneous>Incident|Miscellaneous>Description - Job Role|Miscellaneous>Description - Ship / Sub|Miscellaneous>Description - Ship Role|Places>England|Places>England - HMS Ganges (Stone Frigate)|Vehicles>HMS Tyler|War/Conflict>WWII|Vehicles>HMS Wild Goose|Places>Bay of Biscay|Miscellaneous>Life - Pre Service|Miscellaneous>Training|Service Type>Navy|Places>Italy - Bay of Naples|Miscellaneous>POW|Role>Chatham Rating|Places>Scotland|Battles>Ship - Russian / Arctic Convoys|Battles>The Blitz,"a:12:{i:0;s:4:""2304"";i:1;s:4:""2305"";i:2;s:4:""2306"";i:3;s:4:""2307"";i:4;s:4:""2308"";i:5;s:4:""2309"";i:6;s:4:""2310"";i:7;s:4:""2311"";i:8;s:4:""2312"";i:9;s:4:""2313"";i:10;s:4:""2314"";i:11;s:4:""2315"";}","['Naval', 'Rum Ration', 'Operation', 'Neptune / Overlord (D-Day)', 'Ordinary Seaman', 'U Boat', 'Naval', 'Action Stations', 'Operation', 'Avalanche', 'England', 'London', 'Conditions', 'Incident', 'Description', 'Job Role', 'Description', 'Ship / Sub', 'Description', 'Ship Role', 'England', 'England', 'HMS Ganges (Stone Frigate)', 'HMS Tyler', 'WWII', 'HMS Wild Goose', 'Bay of Biscay', 'Life', 'Pre Service', 'Training', 'Navy', 'Italy', 'Bay of Naples', 'POW', 'Chatham Rating', 'Scotland', 'Ship', 'Russian / Arctic Convoys', 'The Blitz', 'Boat', 'Ganges (Stone Frigate)', 'Tyler', 'Wild Goose', 'Cornelius', 'Snelling']"
3238.0,David Craig,1,1,Train/Eval,,"David's interview isn't the easiest to listen to but it's worth the effort. He provides some incredible detail of his life onboard Merchant Ship, the Dover Hill.",121183947.0,"David Craig provides a fantastic account of his time as a Radio Operator on the Merchant Ship, the Dover Hill. His recollection of an extended stay in Russia is absolutely fascinating.",Civilian,The Veterans' video archive|Keeping Britain Afloat,Places>Russia|Miscellaneous>Naval Convoy - JW53|Battles>Ship - Russian / Arctic Convoys|Miscellaneous>Conditions - Weather|Vehicles>Dover Hill|Role>Gunner|Miscellaneous>Incident|Miscellaneous>Incident - Ship Sank|Miscellaneous>Medal - King's Commendation|Service Type>Merchant Navy|Role>Radio Officer|Vehicles>SS Vimiere|Vehicles>The Eastern Prince|War/Conflict>WWII|Role>Chief Radio Officer|Role>Wireless Operator,"a:8:{i:0;s:4:""3241"";i:1;s:4:""3242"";i:2;s:4:""3243"";i:3;s:4:""3244"";i:4;s:4:""3245"";i:5;s:4:""3246"";i:6;s:4:""3247"";i:7;s:4:""3248"";}","['Russia', 'Naval Convoy', 'JW53', 'Ship', 'Russian / Arctic Convoys', 'Conditions', 'Weather', 'Dover Hill', 'Gunner', 'Incident', 'Incident', 'Ship Sank', 'Medal', ""King's Commendation"", 'Merchant Navy', 'Radio Officer', 'SS Vimiere', 'The Eastern Prince', 'WWII', 'Chief Radio Officer', 'Wireless Operator', 'Vimiere', 'David', 'Craig']"
2146.0,Dennis Whitehead,1,1,Train/Eval,,"Dennis Whitehead served on the C-Class Destroyer, HMS Cassandra. It was an eventful experience.",90098682.0,It’s hard to determine if it was good or bad luck that was in play on December 10th 1944. The facts are that the ship’s Captain fell and broke his leg. This mean’t the ship was immediately demoted from lead Destroyer to a lower class. This new classification placed her at the worst place in the convoy. ,Navy,Keeping Britain Afloat|The Veterans' video archive,Service Type>Navy|Role>Ordinary Seaman|Places>Mil Camp Uk - RNB Chatham|Miscellaneous>Incident - Casualty / Death|Miscellaneous>First - Ship|Miscellaneous>Incident|Miscellaneous>Description - Job Role|Vehicles>HMS Manxman|Vehicles>HMS Cassandra|Role>Gunnery Control|Places>England - Portsmouth|Places>England - HMS Collingwood (Stone Frigate)|Miscellaneous>Training - Trade|Role>Chatham Rating|War/Conflict>WWII|Miscellaneous>Wartime - Damage|Miscellaneous>Conditions - Weather|Places>The Far East|Battles>Ship - Russian / Arctic Convoys|Miscellaneous>Training - Basic / Initial|Miscellaneous>Training|Miscellaneous>Conditions,"a:6:{i:0;s:4:""2149"";i:1;s:4:""2150"";i:2;s:4:""2151"";i:3;s:4:""2152"";i:4;s:4:""2154"";i:5;s:4:""2155"";}","['Navy', 'Ordinary Seaman', 'Mil Camp Uk', 'RNB Chatham', 'Incident', 'Casualty / Death', 'First', 'Ship', 'Incident', 'Description', 'Job Role', 'HMS Manxman', 'HMS Cassandra', 'Gunnery Control', 'England', 'Portsmouth', 'England', 'HMS Collingwood (Stone Frigate)', 'Training', 'Trade', 'Chatham Rating', 'WWII', 'Wartime', 'Damage', 'Conditions', 'Weather', 'The Far East', 'Ship', 'Russian / Arctic Convoys', 'Training', 'Basic / Initial', 'Training', 'Conditions', 'Chatham', 'Manxman', 'Cassandra', 'Collingwood (Stone Frigate)', 'Dennis', 'Whitehead']"
2252.0,Dick West,1,1,Train/Eval,,Dick West gives a brilliant account of his life as an Engine Room Artificer on HMS Sheffield. See Alfred Fowler's account. He was on the Sheffield at the same time as Dick.,93459693.0,Dick West gives a brilliant account of his life as an Engine Room Artificer on HMS Sheffield.,Navy,Keeping Britain Afloat|The Veterans' video archive,Miscellaneous>Naval - Action Stations|Miscellaneous>Naval Actions - Naval Battle|Vehicles>HMS Sheffield|Places>England - HMS Collingwood (Stone Frigate)|Vehicles>HMS Iron Duke|Battles>Ship - Russian / Arctic Convoys|Miscellaneous>Incident|Service Type>Navy|Vehicles>Scharnhorst|Vehicles>The Tirpitz|Battles>Ship - Malta Convoys|Miscellaneous>Description - Ship / Sub|Role>Engine Room Artificer 2|Role>Chatham Rating|Places>America|Places>England - HMS Torpoint (SF)|War/Conflict>WWII,"a:7:{i:0;s:4:""2255"";i:1;s:4:""2256"";i:2;s:4:""2257"";i:3;s:4:""2258"";i:4;s:4:""2259"";i:5;s:4:""2260"";i:6;s:4:""2261"";}","['Naval', 'Action Stations', 'Naval Actions', 'Naval Battle', 'HMS Sheffield', 'England', 'HMS Collingwood (Stone Frigate)', 'HMS Iron Duke', 'Ship', 'Russian / Arctic Convoys', 'Incident', 'Navy', 'Scharnhorst', 'The Tirpitz', 'Ship', 'Malta Convoys', 'Description', 'Ship / Sub', 'Engine Room Artificer 2', 'Chatham Rating', 'America', 'England', 'HMS Torpoint (SF)', 'WWII', 'Sheffield', 'Collingwood (Stone Frigate)', 'Iron Duke', 'Torpoint (SF)', 'Dick', 'West']"
2242.0,Doug Shelley,1,1,Train/Eval,,Doug is a proud Chatham Rating who experiences the best and worst of the Port division. He was drafted to the M-Class destroyer HMS Milne.,93459244.0,Doug was a man with many friends in the Royal Navy. But then he was the Rum Bosun. ,Navy,The Veterans' video archive|Keeping Britain Afloat,Places>Australia|Role>Chatham Rating|Role>Able Seaman|Miscellaneous>Naval Convoy - PQ18|Miscellaneous>Naval - Burial at Sea|Battles>Ship - Russian / Arctic Convoys|Miscellaneous>Training|Miscellaneous>VE Day|War/Conflict>WWII|Places>Australia - HMS Golden Hind|Miscellaneous>Life - Pre Service|Vehicles>HMS Milne|Miscellaneous>Incident|Miscellaneous>First - Ship|Miscellaneous>First - Convoy|Service Type>Navy|Miscellaneous>Conditions - Weather|Miscellaneous>Description - Job Role|Miscellaneous>Conditions,"a:7:{i:0;s:4:""2245"";i:1;s:4:""2246"";i:2;s:4:""2247"";i:3;s:4:""2248"";i:4;s:4:""2249"";i:5;s:4:""2250"";i:6;s:4:""2251"";}","['Australia', 'Chatham Rating', 'Able Seaman', 'Naval Convoy', 'PQ18', 'Naval', 'Burial at Sea', 'Ship', 'Russian / Arctic Convoys', 'Training', 'VE Day', 'WWII', 'Australia', 'HMS Golden Hind', 'Life', 'Pre Service', 'HMS Milne', 'Incident', 'First', 'Ship', 'First', 'Convoy', 'Navy', 'Conditions', 'Weather', 'Description', 'Job Role', 'Conditions', 'Day', 'Golden Hind', 'Milne', 'Doug', 'Shelley']"
2511.0,Eric Conway,1,1,Train/Eval,,"Eric Conway provides a fantastic interview detailing his service as a Second World war Submariner. It's a no-holds barred account, full of emotion and humour. ",100918175.0,Second World War Submariners are a rare find. We're very glad we found Eric!,Navy,Keeping Britain Afloat|The Veterans' video archive,Miscellaneous>Description - Job Role|Vehicles>Submarine|Miscellaneous>Incident|Places>England - Chatham|War/Conflict>WWII|Miscellaneous>Training|Role>Submariner|Service Type>Navy,"a:9:{i:0;s:4:""2514"";i:1;s:4:""2515"";i:2;s:4:""2516"";i:3;s:4:""2517"";i:4;s:4:""2518"";i:5;s:4:""2519"";i:6;s:4:""2520"";i:7;s:4:""2521"";i:8;s:4:""2522"";}","['Description', 'Job Role', 'Submarine', 'Incident', 'England', 'Chatham', 'WWII', 'Training', 'Submariner', 'Navy', 'Eric', 'Conway']"
2623.0,Gladys Yates,1,1,Train/Eval,,We met Gladys when she visited the Luton primary school as part of the education we’re creating around the significance of the Second World War convoys.  She’s a Chatham Wren born and bred and absolutely loved her work as an Officer Steward in the barracks where amongst other duties she would wake the men and provide their morning tea.,109471660.0,"In this extract from her interview, Gladys recalls a herat stopping moment on parade.",Navy,The Veterans' video archive|Keeping Britain Afloat,Service Type>Womens Royal Naval Service|Role>WRNS - Officer Steward|War/Conflict>WWII|Miscellaneous>Description - Job Role|Places>England|Places>England - Chatham|Places>England - Gillingham|Miscellaneous>Incident|Miscellaneous>Incident - Being Bombed|Miscellaneous>Life - Pre Service|Miscellaneous>Life - Wartime|Role>WREN,"a:4:{i:0;s:4:""2626"";i:1;s:4:""2627"";i:2;s:4:""2628"";i:3;s:4:""2629"";}","['Womens Royal Naval Service', 'WRNS', 'Officer Steward', 'WWII', 'Description', 'Job Role', 'England', 'England', 'Chatham', 'England', 'Gillingham', 'Incident', 'Incident', 'Being Bombed', 'Life', 'Pre Service', 'Life', 'Wartime', 'WREN', 'Gladys', 'Yates']"
2573.0,Gordon Hooton,1,1,Test,,Gordon ran away from home and the Navy and the opportunity to travel was a natural calling for him. ,,,Navy,Keeping Britain Afloat|The Veterans' video archive,Places>Russia|Places>Russia - Polyarny|Places>The Far East|Places>Russia - Murmansk|Role>Home guard|Role>Torpedoman|Battles>Ship - Russian / Arctic Convoys|War/Conflict>WWII|Service Type>Navy|Miscellaneous>Incident|Vehicles>HMS Savage|Places>England - HMS Ganges (Stone Frigate)|Miscellaneous>Description - Ship Role|Role>Chatham Rating,"a:5:{i:0;s:4:""2576"";i:1;s:4:""2577"";i:2;s:4:""2578"";i:3;s:4:""2579"";i:4;s:4:""2580"";}","['Russia', 'Russia', 'Polyarny', 'The Far East', 'Russia', 'Murmansk', 'Home guard', 'Torpedoman', 'Ship', 'Russian / Arctic Convoys', 'WWII', 'Navy', 'Incident', 'HMS Savage', 'England', 'HMS Ganges (Stone Frigate)', 'Description', 'Ship Role', 'Chatham Rating', 'Savage', 'Ganges (Stone Frigate)', 'Gordon', 'Hooton']"
