	Timestamp	Speaker	Transcript
0	0 days 00:00:00	New Film	New Film
1	0 days 00:00:01	Interviewee	My name is Baden Singleton. I was born September 27th 1924 and I was brought up in [????? 00:00:17] in Dorset. I went to Lulworth School until I was fourteen… two and a half mile trek to school and when I was fourteen because my father died when I was seven I had to get out and get some work… because we were brought up on the parish. And I got this job in domestic service. Three male servants, and three each kitchen and house maids, quite a happy household really. I was there until I joined the navy. I was glad to get out of there because I was on my own… I was doing the butlering side of it just me you know. Anyway I joined the RN at seventeen and a half to go and stand guard on the camps. I did my training at Gosport in a New Barracks Gosport. At six weeks disciplinary and rough outline of naval… the I went to [inaudible 00:01:56] camp. six months I was there standing guard. And then from there too general service training at Collingwood. 
2	0 days 00:02:08	Interviewer	Were you a volunteer for the navy? Was this something you really wanted to do? 
3	0 days 00:02:13	Interviewee	Yes right from a youngster I found a seaman’s hat on the beach and it fascinated me. I had tried as a boy to get into the navy and I couldn’t I got two retracted ribs not even the Merchant Navy would take me but, when the war came they didn’t notice that… they accept anyone I suppose. Anyway from Gosport too Collingwood and I really can’t remember how many… we did the full training there quite strict… we had a old retired PO in charge of our class and he didn’t want to come back in and he let us know… at every opportunity. He was quite a character he said ‘if it wasn’t for you lot I could be at home sitting in my arm chair spitting on the ceiling’ that was his favorite you see. And during the training in Collingwood the roads weren’t that wide… and you’re marching in a squad and there is a squad coming from the other direction… he would ask you ‘what do you do?’ and we would sort of move over but, not him straight through he said march over them… you know we had that sort of training… it was all new to us. End of training it was just a batch draft from Collingwood to Lowestoft a batch of us. 
4	0 days 00:04:18	Interviewer	 So you had no choice about it?
5	0 days 00:04:20	Interviewee	No no we were just seaman, we don’t have choices. 
6	0 days 00:04:25	Interviewer	 So what happened when you got to Lowestoft?
7	0 days 00:04:27	Interviewee	Yes… we were happy it was a wet day a miserable night we got there dark and of course they have no barracks and you were billeted in the town. It was much too late for us to be billeted so the main area was a concert hall that was part of this place in Lowestoft they took over. It was a big concert hall with a stage and what have you anyway we just spent the night on this floor how you could. You know you just laid down and went to sleep. We were tired enough and in the morning we went round with a lorry and you would drop off here and drop off there and I finished up at the south end of Lowestoft Hatfield. Quite a long way from the base but, then we had free bus transport so… 
8	0 days 00:05:36	Interviewer	 So you were in digs basically? You were billeted out?
9	0 days 00:05:40	Interviewee	Yeah and I was billeted with a fishing skipper and he was very strict but, a nice old chap you know and the failing I had with that is he insisted on making Yorkshire pudding in a basin and we had to eat it… you could not leave it unless you had a pocket, which very often happened you know you must not leave this Yorkshire pudding but, he was a great chap meeting down the pub and buy him a drink. He was your mate all through the war and service I was seaman. And a seaman in a minesweeper you… deepening in how many watches… the first ship I was on we only had six seaman so that meant we did four hours on and four hours off all the time we were at sea which could be quite a long time and quite tiring and of course your watches change at the dog watch. Which is six until eight… yes six until eight I had to think then. Anyway you know if you were close to the dogs just come off and wanted to sleep you lost it because you stood too dawn and dusk… you always everyone was up. You see and we had an hour and twenty minutes on each post this was on the bridge lookout… hour and twenty minutes at the wheel and an hour and twenty minutes on the aft gun lookout. The aft gun lookout made the cocoa for the next watch. When we were in harbour you would paint and get stores in you know all manual jobs I suppose… 
10	0 days 00:08:09	Interviewer	 And at sea?
11	0 days 00:08:09	Interviewee	Scrubbing the decks at sea that’s all you did. A sweeper takes in a lot of water she is not like a big liner and you couldn’t do much on the deck if she’s a bit choppy not much you could do actually so you’re just watch keeping or sleeping you didn’t do anything between. On the second ship the Wolborough we had nine seaman so we had three hours on and four… four hours on and eight hours off accept for the dogs… and then you lost a bit. My first trip out was on Romeo and at the time we set off I was pumping water from the main tank to the heads up top. And I’m pumping away you see and the ship poked her head outside down a trough, up a trough down and over the sides and that was it no more… I lost what I had then and went back to pumping the water quite happy. The only time I was ever sick again was off Bengasi we were at anchor and the heat was terrible, no air at all and there was a heavy swell and you know I was sick again… just the once I got rid of it I was alright. But, that’s the only times. The ships I was on were escort… we were ASDIC sweeps and radar. 
12	0 days 00:10:26	Interviewer	 So you were detecting mines?
13	0 days 00:10:29	Interviewee	Not mines no submarines… 
14	0 days 00:10:31	Interviewer	 Detecting submarines… 
15	0 days 00:10:32	Interviewee	If there was any mines we would find them… no it was subs we looked for. 
16	0 days 00:10:40	Interviewer	 And if you actually got a contact then what did you do?
17	0 days 00:10:46	Interviewee	Nobody was handed to the bigger escorts… but, if in some circumstance we had to drop our own thigimies… 
18	0 days 00:11:00	Interviewer	 Depth charges… 
