	Timestamp	Speaker	Transcript
0		Frank	 Well, my name is Frank Wilson. I've been in the Navy. I was a Naval Seaman, but I was an air gunner. On the activity, we was employed on the flight day. Of course, we had two jobs, you see, we had guns on the flight deck as well as in the aircraft. 
1		Interviewer	 Excellent, okay. Well, look, I mean before we get to the activity just where are you from and what do you remember? 
2		Frank	 Dronfield. Well, I mean virtually I went from, not at school, I started being an apprenticeship in Sheffield, but then, when the war came on, of course, I wanted to go in the Navy anyway, so I went to Cherry Street in Sheffield and signed on there as a boy Seaman. 
3		Interviewer	 What year was that? 
4		Frank	 Oh dear, about 1940 I would think. 
5		Interviewer	 Why did you want to be in the Navy if you're from Dronfield? 
6		Frank	 [laughs] I don't know, it's just something I wanted to do I suppose. I always fancied being in the Navy. In fact, I wanted to stop in after the war, but they was blowing everybody out. They just didn't want you. 
7		Interviewer	 All right. Okay, what do you remember of that transition then from being a boy in Dronfield to a Navy man? 
8		Frank	 My first training? My first training was at Collingwood. It had just opened then at that time and it was still in its infancy and it's still there to this day, Collingwood. 
9		Interviewer	 Is there anything that you can remember from your training? 
10		Frank	 No, not really. I think I enjoyed it to be truthful. I think we done about 10 weeks at Collingwood and then I went to Wellesley at Liverpool and that was me in Liverpool to a gunnery training school and first start as an anti-aircraft gunner. 
11		Interviewer	 Did you want to get into guns or did they give no choice? 
12		Frank	 Well, I don't think you got any choice really, you know? They put you where they felt like, I mean I had a friend, who has died now, he lived down the shore and he didn't want to be an electrician and he finished up as one. Of course, after the war, that were his trade for the rest of his life, but he didn't want it in the first place. He was on the activity as well, yes. 
13		Interviewer	 Were you at Cheddar waiting? 
14		Frank	 Huh? 
15		Interviewer	 Were you Cheddar-- 
16		Frank	 No, Portsmouth. 
17		Interviewer	 Did you have any sentiment towards being a [unintelligible 00:02:47] rating, did that bother you? 
18		Frank	 No, no, no. What do you mean the sentiment, in what way? 
19		Interviewer	 Well, you know the rivalry between the different port divisions. Were you aware of it? 
