	Timestamp	Speaker	Transcript
0	0 days 01:00:00	New Film	New Film
1	0 days 01:00:01	Interviewee	Harriet Edith Frosser - was, when I joined the wrens- that was my name. 
2	0 days 01:00:05	Interviewer	Harriet where-where are you from and why did you decide you wanted to be a WREN? 
3	0 days 01:00:10	Interviewee	oh, well I've had other people ask me that and i think myself because I was auburn haired, um, pale skinned and freckly faced, I didn't think that um the ATS would suit me- the uniform you know (laughs). And I though that the navy blue would. and I think that's the only reason. 
4	0 days 01:00:34	Interviewer	Really? 
5	0 days 01:00:35	Interviewee	Because we didn't live by the sea, we were- lived inland you know. Farming stock 
6	0 days 01:00:43	Interviewer	And where are you from? 
7	0 days 01:00:44	Interviewee	Aberdeenshire 
8	0 days 01:00:46	Interviewer	So just tell me what, what impact did the war have on you as a young girl living in Aberdeenshire? 
9	0 days 01:00:46	Interviewee	 Well, um, I was still at school of course. I went to (unclear) academy and I was still at the academy and I remember, um, they used to be a reconnaissance plane come over every night you could almost set your watch by it, 8 o'clock ish and you knew, I, I knew, we all knew that the engine had a different noise to it you know. So you could tell that it was a German plane. And then one night, it was much more noisy. And my father went outside, mother went outside and then I decided I would follow and i had my hand on the doorknob still, this hand. And all of a sudden, we heard this whistle. And it was a bomb that they'd dropped in a ploughed field only about quarter of a mile away so that made me think. That was, you know, at that stage, when your up there, you don't think of um, of, well conflict like that do you, especially in the country and yet this is what happened. And the lovely fireworks display all the parts coming out of- the greens and what not you know. But i think what happened was, an aircraft had come up from (unclear) they couldn't come up from (unclear) because (unclear end of sentence) you see (unclear). And um, he had dropped this bomb to get away quickly. But they had 2 bombs in um Aberdeen. They bombed the um ice rink and one of the - I can't remember what and then i went into Aberdeen one day um, for some shopping and believe it or not, i still can't understand why i did, i heard this plane and I’m looking up and it was just rooftop high and there were um, using the machine guns ratatatat, you know. And I’m standing there- I was waiting for the bus at the um, country bus station in (unclear) waiting to go home- what an idiot. Instead of running into a doorway or something like that, you know. So I go this sort of thing very early on, um we ourselves thought they were maybe after the um (unclear) bridges. see, they bombed those. They would have had an awful lot of trouble getting round, along way to go you know, for the trains and things to get say up- to get stuff over to the Orkneys and that sort of thing. So, i thought right, i want to do my bit. 
10		New Film	New Film
11	0 days 01:04:10	Interviewer	So you decided to do your bit- what do you remember of that enrolment process? 
12	0 days 01:04:16	Interviewee	Um, well i had to go to see (unclear) time, um Edinburgh capital, Glasgow, Dundee was the third city, Aberdeen fourth. When the oil came around of course Aberdeen is third city now but at that time, I had to go to Dundee for my medical. Now the strange thing about that was when I got out of the station, I’d never been to (unclear) hall before and yet I know- I knew where I was going, I knew exactly what room I was going to head for and i could never understand that. That was the most strange. But obviously I was then to go in the WRNS- had to go there for my medical. And i um, passed it obviously and then got the call up and did my training at Balloch Loch Lomond which was rather nice except that before that- we go there before the WRNS took over- the Americans had been there and they left lock stock and barrel leaving dirty things here there and everywhere you know and when we got there, they were building new loos. But, until they were finished, we had these open loos, you know (laughs). I didn't like that at all in fact there were five of us that um, we got off after lunch every day and five of us used to head down to Balloch station to have a, you know, a comfortable (unclear) because it was awful to sit and then somebody else coming in and then of course, what they had to do was to empty those um, daily. But that didn't last for long because the others, the flush loos were ready within a few days. But until then (laughs, unclear) we head down to Balloch to get on these loos you know. 
13	0 days 01:06:41	Interviewer	How did you- you know- you mentioned that you were a country girl but how did you find that sort of- I imagine a very relaxed, comfortable, you know, okay, tough, but care-free existence to military life. How did you find that change? 
14	0 days 01:06:58	Interviewee	Um, I don't know. I'll tell you this- while um, this contingent was there, the WRNS could within the two weeks training, if they didn't like it, they could leave. I don't think this applied to the WAF or the ATS. But there were two girls um, i mean you were put to scrubbing floors and things like that, it's all part and parcel of your training and these two girls they just wouldn't do it you see. Um, off they went, they weren't going to- and yet one of the permanent staff there, a leading WREN, had said to them, it's not like this when you finish your training, it's only here you'll be doing this, you won't be doing that elsewhere you know. But they didn't listen so um, I don't know, i just scrubbed floors and did as I was told more or less. And um, i think if you set your mind to do something and you want to do it, you have to get over the initial training or whatever. 
15	0 days 01:08:18	Interviewer	Was it military stuff- it sounds like it wasn't particularly military based it was- 
16	0 days 01:08:24	Interviewee	Well, it- you've (unclear) talk about (unclear) of course you had the tallest on the right, shortest on the left, I always knew where I had to go because I’m so short- Left. But again, you didn't do much of that afterwards. You only did that you know, while you were there. But I was very glad I wasn't the shortest. About the third shortest while I was there so I was happy because when they do the um right wheel and left wheel etcetera, I’d be going the wrong way I’m sure but um I enjoyed it. We had um, a test, I don't know if everybody did but i certainly had um. This test was to do with say um, arithmetic and various things um in case your wanted to be supplies or whatever. But as I got um the whole of the paper right, they didn't know what to do with me so that's why I ended up as a messenger to start with. But having said that, we then went down to, from there, we went down to Earls court and (unclear) gardens which was a holding depot before you posted onto somewhere else you see. Now we were all Scots there, near, nearly all of us were Scots. Come Sunday, we had to go on divisions- you know what divisions are- you know, um so we marched to the church and as we got to the door of course, the normal squad halt, Catholics fall out. So, in we went and it was very very high church, they were swinging the incense and chanting and we had such a simple service you see in Scotland where I was, not so much Glasgow would have been different but the East of Scotland um, different, very simple and come the next Sunday, um those that, of us that were still there said um, 'shall we ask if we can fall out like the Catholics? So will you be spokeswoman?' So we all went there but I was spokeswoman and I said well we know we've got to go on divisions etcetera but really can we fall out and go to a church of our own, you know, Scotland, (unclear) something because it was far too high for us, we didn't know when to bob up and down, you know that kind of thing. And we were told by the regulating petty officer on duty, you're here for such a short time, that you more or less do as you're told and now i didn't like that. That's the only thing that i had a quibble about. Because i don't think that should have been happening. And- what can you do about it. We didn't want to be on commanders defaulters so we did as we were told, then the following week of course, most of us had gone after that. But you were there usually about two weeks, maybe three. And then off to Plymouth and Plymouth was again a holding depot but we were in houses in Mannamead and one of the WRENS houses had been bombed just two doors up from where we were. Because they did have it quite badly bombing in the- in Plymouth and um, we were there for about another two weeks but we didn't have to go on divisions. And then off we went to Ilfracombe. And Ilfracombe, I was there for quite a while. 
17		New Film	New Film
