	Timestamp	Speaker	Transcript
0	0 days 01:00:00	New Film	New Film
1	0 days 01:00:00		 I’m John Roche and I joined the navy at HMS St. Vincent in Gosport in 1938, and I done twelve months of boys training there before I went on to my first ship; which was HMS Iron Duke 
2	0 days 01:00:18	Interviewer	Why did you have a feeling for the navy over any of the other services? 
3	0 days 01:00:18	Interviewee	 Well my father had been in the navy; my uncle had been in the navy, and my brother was in the navy so it was a family affair really. In August 1939, I was drafted to commission HMS Renown in Portsmouth, shed been in there for three years from 1936 until 1939; and she was having a big refit. The ship came out all brand new, twelve hundred of us came on board and commissioned the ship just before the war started, and we had a quick rush to the ammunition ship, and the provision ship and we had to do all the necessary things; such as quick seat and wheel trials the day that the war started on the 3rd September 1939 to Scapa Flow to join the home fleet. I stayed on HMS renown for five and a quarter years spent about all the war on one ship. 
4	0 days 01:01:38	Interviewer	Talk about the pre-war period, and the training, what were you doing? What was it like? 
5	0 days 01:01:38	Interviewee	 It was pretty tough they talk about the young offenders training these days but I think ours was much tougher than that. We had to get up at six o clock every morning, go up and over the mast before breakfast; we may get a cup of cocoa and two biscuits to start the day and then we had our breakfast. On the Thursday we had to go to the laundry because we wore dark suits for normal days and they had to be changed twice a week, so we all ended up in the laundry Thursday morning scrubbing; doing all our washing and that was all done before seven o clock. Then we were under various instructions, we done schooling, signals, naval history, and various other things. Pre-war training was pretty good, it put us in good shape for afterwards you know, when you think about the youngsters joining up these days they have about six weeks of training, but we had about twelve months of training. So really they got extra time out of us without giving us any pension, because our time in the navy didn’t start for pension purposes until we were eighteen; so we done two and half years for nothing as it were really. A lot of the boy seamen went to see the beginning of the war, in matter of fact there was about 800 boy seamen lost, there were about 100 lost on HMS Royal Oak, and around 180 lost on HMS Hood. Boy seamen done the same work as naval seamen and ordinary seamen they done lookouts; ammunition carriers, anything a seaman done we done. 
6	0 days 01:04:04	Interviewer	Was there anything in that training that you really liked or really disliked? 
7	0 days 01:04:04	Interviewee	 It’s hard to say, I suppose you enjoy being with new company you know with all the boys and that, we all mucked in together and you all became good friends. We decided we were all in it together, once you were signed on you couldn’t get out anyway; so you was stuck with it 
8		New Film	New Film
9	0 days 01:04:29	Interviewer	Did you as boy sailors have a sense that there was real potential for a war during that training period? 
10	0 days 01:04:29	Interviewee	 We did actually because it was in 1938 when Neville Chamberlain came back from Munich with a bit of paper saying that there wouldn’t be any wars. The next thing we knew we were all out in the playground with pick axes and shovels digging air raid shelters on our playground, we enjoyed that more rather than marching on it 
11	0 days 01:05:04	Interviewer	Before you went on the ships, did you get a well done or was going on the ships just part of the next stage? 
12	0 days 01:05:04	Interviewee	 I suppose it was a continuation, the traineeship was HMS anyway the routine was much the same, so we got on the ship and we probably found being on the ship was easier as the routine wasn’t as strict as the training; we had a bit more freedom if you like. Although being boys we still had to conform to boys’ routine, we had a boys’ mystic, the boys were kept away from the older sailors; we weren’t allowed to mix with them only for work purposes 
13	0 days 01:06:01	Interviewer	What was it like seeing HMS Renown for the first time? 
14	0 days 01:06:01	Interviewee	 We thought it was a mighty big thing, we saw it in the dockyard in Portsmouth, and we had been around the naval dockyard in Portsmouth before that so we had seen a lot of big ships. There were a lot of big ships coming in and out, there were a lot of battle ships around then and we had seen the Hood; and that is the sister ship to Renown really which was a bigger vessel. So we had seen bigger ships, we just haven’t actually served on one or been on before until we got on there, and started finding our way around 
15	0 days 01:06:51	Interviewer	Tell me a bit about the boys’ mess, what was it like? 
