	Timestamp	Speaker	Transcript
0	0 days 01:00:00	New Film	New Film
1	0 days 01:00:00		 I'm Mervyn John Salter. I was an able seaman, anti-aircraft gunner... I joined the royal navy in 1942, at the age of 18 And trained at HMS Raleigh and HMS Drake. 
2	0 days 01:00:25	Interviewer	Mervyn, why did you-why did you want to join the navy over any other service? 
3	0 days 01:00:25	Interviewee	 It was just a preference, of the sea and… the sea and what it offered... Or at least what I thought it offered. 
4	0 days 01:00:44	Interviewer	Where are you from? Where were you living sort of early part of the war? 
5	0 days 01:00:44	Interviewee	 I was in Bath yes yes.. I was living in Bath at the time. 
6	0 days 01:00:59	Interviewer	Tell me a bit about that-that process that you go through, and where you you-know the early stages of your training? 
7	0 days 01:00:59	Interviewee	 Well as I say I joined at HMS Raleigh... and we did the usual things that… drilling, ect. Boat. Working with whalers and that type of thing. Until then I switched to HMS Drake and I took up the anti-aircraft gunnery as I say. 
8	0 days 01:01:49	Interviewer	Are there any-are there any memories any stories that you can remember from Drake or Raleigh? 
9	0 days 01:01:49	Interviewee	 Well there were. We were at St. ??????... And it was just a normal... A normal training session you know, there was nothing outstanding, at that time. We spent one weekend on the great water fort, and most of that time we were peeling potatoes. But you know that’s, that's about it, as far as I know. 
10	0 days 01:02:31	Interviewer	That's alright. When did you get your draft? And… what -tell me about how you felt about where you went and when you saw the ship? 
11	0 days 01:02:31	Interviewee	 Ye-. As I said after training, I was drafted to... HMS Saumarez, an S-Class destroyer. Which was commissioning, at.. Ebon in Tyne. And as I say, I joined her there. 
12	0 days 01:03:05	Interviewer	What do-what do you remember of seeing her for the first time can you remember that day? 
13	0 days 01:03:05	Interviewee	 Well- you know she was a sleek... Low lying destroyer. 
14	0 days 01:03:19	Interviewer	Tell me a bit about Saumarez, what your mess was like... You know- what life was like on board for you know-a young sailor? 
15	0 days 01:03:19	Interviewee	 Well as I say it was an optimistic. You went down stairs, there were... Lockers. Which we sat on mostly when we were on the arctic conveys, because we er-couldn't sling hammocks. We had hammock storage down below. There were... Two messes, two or three messes. About 10-15 in a mess. We used to have to prepare our ... meals. And this was taken up to the galley where they were cooked... And they had a... Cook of the mess. And you know your turn came around probably every four or five days. And… as I say we just off watch you sat and chatted and looked at anything that was available you know that type of thing. 
16	0 days 01:04:44	Interviewer	Why didn't you- why didn't you sling your hook… Your hammock, hammock sorry. Why didn't you sling your hammock in the arctic? 
17	0 days 01:04:44	Interviewee	 Er-because the sea and that was... Not convenient, you know too much... swinging. And, because we ... Too often, having to prepare to go on watch, on... at action stations. So as I say a lot of the time we didn't undress properly. We just waiting there all the time... too… to go on watch or go on- go to actions stations. 
18		New Film	New Film
19	0 days 01:05:34	Interviewer	What was some of the Can you remember the sort of the first few journeys of what you did I mean … Did you go to Norway quite early on? 
20	0 days 01:05:34	Interviewee	 The first trip... I took... Saumarez was detailed to carry out an [Aztec] sweep... Whilst accompanying RMS Queen Mary with Churchill aboard... on route to a meeting with Roosevelt... In Quebec or at Quebec. But... Due to a typical Atlantic storm... Gale force winds and mountainous seas, we had to call it off after 17 hours. Because it was because the conditions were so bad... And resulted that we limped into St. Johns Newfoundland four days after Queen Mary birthed at Quebec. So-... Some baptism at my first trip to sea. 
21	0 days 01:06:49	Interviewer	How were your sea legs? 
22	0 days 01:06:49	Interviewee	 I was never sea sick. That was one thing I always boasted about I was never sea sick. 
23	0 days 01:06:59	Interviewer	Can you describe conditions in those seas? 
24	0 days 01:06:59	Interviewee	 Well as I say it was… very mountainous seas and the ship would be either... Up and down mainly... Going into the water and the water would... Cascade over the top of the bridge... And all the down over the guns and all the rest of it. 
25	0 days 01:07:36	Interviewer	What was your action station then... You know at the time were you on or off that watch? 
26		Interviewee	 I was as I say on an Oerlikon gun... Which was on a platform posted just after the after the funnel. 
27	0 days 01:08:03	Interviewer	Where you on an Oerlikon in these storm? 
28	0 days 01:08:03	Interviewee	 Oh yes, yes. 
29	0 days 01:08:12	Interviewer	Really? Where you thinking I wish I'd gone to the air force at this point? 
30	0 days 01:08:12	Interviewee	 Never. Never. 
31	0 days 01:08:19	Interviewer	What was next? 
32	0 days 01:08:19	Interviewee	 Well as I say led me kip out from Canada We were attached with units in the fleet to carry out bombardments of installations on the Norwegian coast. Which was our first-my first taste of the war as it were. And on retiring from the action we were pursued by enemy aircraft but fortunately they didn't press on too much so we escaped unscathed as it were. 
33	0 days 01:09:07	Interviewer	Is that the first time you got to fire the Oerlikon? 
34	0 days 01:09:07	Interviewee	 I didn't actually fire because the 4-7s the bigger guns kept the aircraft at bay, you know. But we were close up ready to fire, but my range was only a thousand yards you see. So that as I say, though I was close up I didn't actually have to fire at that time. 
35	0 days 01:09:32	Interviewer	What was it like to be-you know although you'd done gunnery training, can you remember what felt like to be on board when the ship really opened up in terms of the full bombardment. What’s the effect on the ship like? 
