	Timestamp	Speaker	Transcript
0		New Film	New Film ** Start of Film 1 
1	0 days 01:00:01		 My name is Peter George Dunstan, I was born on the top of Hampstead Heath within the sound of bow bells where Dick Whittington is supposed to of turned and gone back as Lord Mayor of London. I revolted against my father who wanted me to be an electrical engineer and I went and did a short time as a blacksmiths assistant helping to shoe great big cart horses until the war came and I knew through my height I was destined for the Guards so I joined the Royal Marines instead. 
2	0 days 01:00:45		 Can you remember much about your training when you decided to become a Royal Marine and did you know what you were in store for? 
3	0 days 01:00:51		 Oh god yes… we were told to report to the recruiting office which was just by Trafalgar Square and about twenty of us civilians had to report to the Royal Marine recruiting office that morning we were marched… or we weren’t marched we were just walked to Charing Cross Station and from Charing Cross Station down to Deal and to the Royal Marine training barracks in Deal itself for the first two days it wasn’t so bad but then we were destined for the Adjutant who called us the scruffiest lot of recruits that ever walked into the barracks and destined for training and at Deal and at Kingsdown which was the training camp firing range where we did our training and then having finished our training we were destined to Plymouth which was to be our depot. There were at that time there were three Royal Marine Depots Plymouth, Portsmouth and Chatham and by our regimental number which was PLY which was Plymouth that was our depot 
4	0 days 01:02:36		 When you say you went through the training quite quickly, I mean how tough was it for you, were you a fit young man? 
5	0 days 01:02:42		 Oh yes yes I mean you had to be I mean twenty mile route march right across… from the barracks down to Devonport across the Torpoint ferry and then a twenty mile route march along the coast to the firing range did our initial firing with live ammunition and then round back to barracks that was our main and training to toughen us up. 
6	0 days 01:03:20		 Was it in summer or winter? 
7	0 days 01:03:24		 When was it I joined… well it will be March it would be February March by the time we got to Plymouth so it wasn’t too bad. 
8	0 days 01:03:39		 Were you a good swimmer were you swimming in Hampstead pools and stuff? 
9	0 days 01:03:42		 No I’d… even getting in the bath was too deep in those days but then during training there was Royal Marine swimming pool in Deal close to Deal Castle and there you were taught and made to swim because as a Royal Marine aboard a ship you never knew whether you had to swim or not as it so happens I mean I did have to swim in shark infested waters but that’s another story 
10		New Film	New Film ** Start of Film 2 
11	0 days 01:04:20		 When you was down in Deal obviously that you know… were you seeing a lot of The Battle of Britain? 
