	Timestamp	Speaker	Transcript
0	0 days 01:00:00	New Film	New Film
1	0 days 01:00:01	Interviewee	Hello, my name is Edward Rogers, but I’m normally called ‘Ted’ for short. 
2	0 days 01:00:06	Interviewer	Where are you from? 
3	0 days 01:00:10	Interviewee	I was born in Liverpool.1924 – a long time ago now. 
4	0 days 01:00:16	Interviewer	So in 1939 you were 15 years of age. Do you remember the Liverpool blitz? 
5	0 days 01:00:23	Interviewee	Yes, I was living in 28 Sturdy Road near Broad Green, it wasn’t quite Broad Green but it wasn’t far away. 
6	0 days 01:00:37	Interviewer	What do you remember of the Liverpool blitz? Were you evacuated? 
7	0 days 01:00:40	Interviewee	Oh, the blitz. I went to sea. The blitz was in 1940. We had an Anderson shelter in the garden and we all sort of scrambled into that. Because we were a big family we had a double one and my father arranged a big sort of wooden stage at one end of it and that was used as a bed, and so we had quite a bit of it. My uncle was bombed out. He lived about a mile away from where we were. That was in 1940 the next year I went to sea … well, in 1941 actually but … 
8	0 days 01:01:17	Interviewer	Why did you want to go to sea rather than any other service? 
9	0 days 01:01:21	Interviewee	Well, first of all I joined the Home Guard when I was 15. I have pictures of that in my uniform. My father joined the Home Guard and ... he’d been in the First World War and he was a corporal then before he was wounded and so he was a corporal in the Home Guard and I thought I’d join him you see to help defend the country and so that’s what I did and then my father evacuated my mother and the younger children to Northern Ireland to get away from the bombing and so there was only my sister and my father left and I decided, well, I’m going to be called up in any case shortly and so I decided to become a merchant seaman because we had sort of a lot of relatives or former relatives at sea and my father worked for a shipping company so we had long sort of connections so I thought if I go to sea I’ll also get a training for after the war, you see, I’d be a merchant navy officer which I was when I left. 
10	0 days 01:02:29	Interviewer	But why the merchant navy over the navy, then? 
11	0 days 01:02:33	Interviewee	Well I couldn’t join the navy at 16 - you have to be 18 and joining the navy did not necessarily mean you’d have a professional job after the war, whereas the merchant navy, I went as a midshipman or cadet and so I served an apprenticeship for three years then I graduated as a third officer so I could have stayed on and got my masters eventually and stayed on as a master or captain of a merchant ship, you see. 
12	0 days 01:03:04	Interviewer	So you already had quite an ambition from a very young age? 
13	0 days 01:03:10	Interviewee	Well I decided to see what could be done and of course during the war is was very difficult to make any decisions because people were being were being called up, you didn’t know what was going to happen you didn’t know whether you were going to stay alive and what was going to go on you know and so … 
14	0 days 01:03:24	Interviewer	What was the process then for joining the merchant navy? What did you have to do before you were given your first ship? 
15	0 days 01:03:31	Interviewee	Well, you had to have your ‘O’ Levels first and fortunately I went to a secondary school because I got a scholarship and in those days there were very few secondary schools. People left after primary school at the age of 14. So I got my O Levels. I could have stayed on to do A Levels but then what would happen, and, anyway, I was glad to get out of the school because I didn’t like it and … what to do during the war so my sister started working at a munitions place – she was older than me - Meccano, they used to make little trains and big toys. During the war they switched to munitions and things like that, you know … and my father was also in a shipping company and that’s the one I joined. It was easier in that sense. 
16	0 days 01:04:27	Interviewer	What did you actually do? Would you literally join up and then you were on a ship or was there a process? 
17	0 days 01:04:33	Interviewee	No, you went straight on a ship and cleaned out the bilges on the first day … you see a great thing about in those days the merchant navy was an apprenticeship you did any job that a seaman would do even though you were being trained as an officer and so the first morning I was on a ship we were woken by the boatswain at 6 o’clock, no, half past 5 in the morning: ’come on lads, we have to go down to the bilges and clean the bilges out’. That was the training for an officer! Then you’d spend your time cleaning the decks; painting; watch-keeping and so on and lookouts and up the mast and all this kind of thing for three years. It was 4 years before the war but they cut a year off because of wanting to get more officers through, you see. And so, at the end of that, in other words, it was on the job training – it was an apprenticeship - it wasn’t just an academic programme and so the seaman knew afterwards that if you told him to do something that you had done it yourself so there was no problem about: ‘you don’t know what’s going on here’. That was the tradition. I think it was a very good tradition, actually, and then also I got my 2nd mate’s certificate you needed that to be a 3rd mate you see, or 3rd officer and then you had to spend another 18 months watch-keeping actually in charge of a watch before you could take the next, the mate’s certificate another 18 months before you could take the master’s so it was all graded out and when I was in education in Zimbabwe I used this for training social workers – they have steps and do a lot of practical work as well so it was a useful experience for me. 
18		New Film	New Film
19	0 days 01:06:19	Interviewer	What was your first ship, and what was it like setting sail from Liverpool? Was it from Liverpool? 
20	0 days 01:06:24	Interviewee	Yes. I sailed on the Alfred Jones. This was my first trip from Liverpool in May 1941 and we went out into the Irish Sea and then we went round the north part of Ireland to keep away from France and so on when the Germans occupied it and out into the Atlantic and then the convoy broke up mid-Atlantic and then we went individually then and we went to west Africa. 
21	0 days 01:06:58	Interviewer	What was it like setting sail for that first time, do you remember it? 
22	0 days 01:07:00	Interviewee	Well, you know, you get a bit sea-sick on your first voyage. Understandable. There were four cadets – there was always four cadets and some of them were second or third year, you see, so they helped you to realise what was going on and then you had a special cabin for the cadets or midshipman. The two different names – the same people and we eat with the officers – we were classified as officers – and the food was very good, actually – and we had passengers on the ship too, and so you would be with the passengers. There weren’t many passengers, but there were passengers there, so it was much better than eating in England, war-time England. And it was quite hard work, though, you had to do sort of four hours on and four hours off and during the war in danger zones. You had what they called double watches and you had to spend hardly any time to sleep the most time you got was four hours and by the time you got into bed and had a sleep and woken up again you got about three hours sleep, you know. That was on what they called double watches. Normally it was four hours on and eight hours off but during the war, in these areas – which was difficult – then it was to get more people on deck for look-outs and manning the guns it was four off and four on, you see. 
23	0 days 01:08:38	Interviewer	Tell me about the outfit. What was it like as a ship: the size, your mess, et cetera? 
24	0 days 01:08:42	Interviewee	Well we had – on that ship - we had about seventy people, as we were commodore’s ship as well and we had the commodore, a retired vice admiral, and his staff and then we had twelve passengers and then we had our own crew; and in those days the crews were much bigger than they are today and because the ship didn’t have such a quick turnaround, you had to do a lot of work on the ship: painting and so on, you know and so … I quite enjoyed it – in a way – and once you got into the Tropics it was beautiful. You had a calm sea; beautiful nights, you know, the stars and so on and the dolphins jumping up and down ahead of the bows: that was very beautiful. 
25	0 days 01:09:32	Interviewer	Why did the outfit, the convoy, split then? 
26	0 days 01:09:37	Interviewee	Well, the ships went to different places, you see. The whole convoy couldn’t go to one place because some ships were going to America; some were going to South America; some were going to the Mediterranean; some to South Africa; some to West Africa. The idea was to take the ships through the most difficult part of the voyage where there were German submarines and also German aircraft that could sort of reach them, you see. And that was why we went out straight out into the Atlantic to get out of the range of the German bombers before we split up. But then, later on, the submarines adapted a different tactic: instead of lone submarines and lone ships, you know, that looked for … they had convoys attacks … convoys with wolf packs. I remember one particular convoy we were in we got a message from – we were commodore’s ship again – we got a message from the Atlanta: expect attack developing from ahead by twelve submarines. In fact there were more. We could see them during the day: they were cruising along at the stern of the convoy on the surface. And then at night they’d come – on the surface, again – and would have a better speed than most of the escorts that we had. Corvettes couldn’t keep up with them. They’d come round ahead, go down, torpedo the leading ships go down through the lines and out the stern. Although we had an anti-submarine gun we couldn’t really fire at them there because you might hit another ship on the other side, you see. So they were very clever in their tactics. So that was very difficult. Sometimes that would happen for days on end and it would only stop when you got air cover to spot them, you know. But when we were actually torpedoed, that was a lone submarine, by a submarine ace: Hessler, and he was lurking around West Africa to get the ships out of convoy, because Free Town was an assembly point for convoys going up to England but the ships came in on their own and so they were waiting outside a hundred miles, hundred and fifty miles outside for lone ships to blow up. 
27		Interviewee	 
28		New Film	New Film
29	0 days 01:12:11	Interviewer	Let’s talk about the day you were torpedoed. What do you remember of that? 
30	0 days 01:12:14	Interviewee	I’ll just tell you about it in brief. I was on the bridge as one of the lookouts. The third mate was in charge the ship at that time because the captain wasn’t always on the bridge. We had a lookout up the crow’s nest, high up, and just about 11:20, 11:30 in the morning on a Sunday he shouted: “torpedoes on the starboard bow!” I looked there and saw four coming towards us and then the third officer gave a command to steer towards them, hard a’starboard because then you present a smaller target, but it was too late. By the time we were swinging around there – you can’t do it like that you know (gestures sudden movement) it takes a bit of time to get round – two hit the ship. One went ahead, I could see it; I was still watch in the bridge. The other one came in I thought it was here, it was there: it had gone right through the ship, but actually it was set deep so it went underneath. One ahead; one underneath, and two hit us amidships and the ship went on fire and then the captain gave the order to abandon ship because it was quite hopeless and to go to the lifeboats. We had four lifeboats: two on each side. I went to my lifeboat and there was nothing there: it had been blown up in the explosion. The two lifeboats on the starboard side were in splinters: they had disappeared with the explosion and so I went to … the rule was to go to the one on the opposite side of your own. I went there and all these people were getting in it and it was being lowered down so I got in that boat and it got stuck on the way down because the ship was heeling over to starboard and it got stuck in between decks and by pushing it and pushing it they freed it, but it damaged the boat and when it got down to the water it sank. 
